Nama_Tempat,Photo_URL,Gmaps_Link,Waktu_Buka
Kuncen Camp Ground,https://www.gemasulawesi.com/storage/photos/agrowisata-kuncen-polobogo-getasan-semarang-tawarkan-camping-ground-dengan-rumput-hijaunya-bikin-betah.jpeg,https://maps.app.goo.gl/Wpo7JYCyeWjy4Enk8,Check In - Out : 12.00 - 11.00
Camping Umbul Sidomukti,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-mble/tix-hotel/images-web/2023/04/02/2a7fe1d1-39cc-41cf-96a4-f5930fbb0806-1680418848991-d7c9ffe1e8950433b87f9b437835c897.jpg,https://maps.app.goo.gl/iR9WGZWpJwYX6zDy5,Check In - Out : 14.00 - 12.00 hari berikutnya
Pinusan Nglimut,https://i.ytimg.com/vi/1xVtD3Scmac/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCRsSpBwh2GfpEG89RF5ZmkH_8IbA,https://maps.app.goo.gl/FG9Z3dJT9RhTDA9S7,Check In - Out : 12.00 - 11.00
Camp Ground,https://assets.pikiran-rakyat.com/crop/0x0:0x0/720x0/webp/photo/2025/01/19/4227292767.jpg,https://maps.app.goo.gl/pC4yL1LoVmkU5X7R7,Check In - Out : 12.00 - 11.01
Jogja Camp,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2023/02/03/be60dfdf-8591-4595-8740-a64dd97c9520-1675419067496-5ce697296d27b1a2ce853515bdc2e4f9.jpg,https://maps.app.goo.gl/bg6D8DpVBopxywyS8,Check In - Out : 12.00 - 11.02
Camping Ground Bukit Klangon,https://asset.kompas.com/crops/J84_AorpiqhSZBC3ECMGyaMwo_U=/0x61:960x541/1200x800/data/photo/2020/11/06/5fa4bcec5d9a9.jpg,https://maps.app.goo.gl/d6q9x7d2t2DtwrwW7,Check In - Out : 12.00 - 11.03
Lor Sambi Camping Ground,https://d2kihw5e8drjh5.cloudfront.net/eyJidWNrZXQiOiJ1dGEtaW1hZ2VzIiwia2V5IjoicGxhY2VfaW1nL2NkNzU3NDAzMjM2ZDRkMzNhNGMxYzNiNmI2OTA3NGU5IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDAsImhlaWdodCI6NjQwLCJmaXQiOiJpbnNpZGUifSwicm90YXRlIjpudWxsLCJ0b0Zvcm1hdCI6ICJ3ZWJwIn19,https://maps.app.goo.gl/3xULxnePvrYzW41t6,Check In - Out : 12.00 - 11.04
Waduk Sermo,https://visitingjogja.jogjaprov.go.id/wp-content/uploads/2021/04/167509417_468363341270038_9164971378936850009_n.jpg,https://maps.app.goo.gl/VY35FLEKP93CEKKe8,Check In - Out : 12.00 - 11.05
Camping Ground Bukit Ngisis,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1080,h_652/w_66,x_12,y_12,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/exhxsfxmetcmumlfua5x/TiketPuncak9BukitNgisisdiKulonProgo.webp",https://maps.app.goo.gl/K7EZNho4gP7cpV6o7,Check In - Out : 12.00 - 11.06
Watu Mabur Lemahbang Rock Cliff,https://travelspromo.com/wp-content/uploads/2023/10/Camping-Tukang-Andalan.jpg,https://maps.app.goo.gl/akxSRw5yXiBahqCQ7,Check In - Out : 12.00 - 11.07
Ngrumput Beach,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/741/2024/02/29/Screenshot_2413-368591400.png,https://maps.app.goo.gl/MAzHCeMtJiWzcVot8,Check In - Out : 12.00 - 11.08
Camp Ground Bukit Sikunir,https://ak-d.tripcdn.com/images/0HJ5q12000i319z8fA461.jpg,https://maps.app.goo.gl/tHrapzErUS6LbVS68,Check In - Out : 12.00 - 11.09
