Nama_Tempat,Rating_Rata,Jumlah_Review,Lokasi,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Harga_Minimum,Facilities,Facilities_List
Becici Peak,4.827586206896552,29,"Bantul, DIY",https://jelajahbantul.bantulkab.go.id/media/user_25/841/18306202387457355_tmp_file,https://maps.app.goo.gl/x8SPdcLqoAHoyoBF7,Check In - Out : 12.00 - 11.08,"[{""item"":""Tiket Masuk"",""harga"":7000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":2000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""}]",14000.0,Area Parkir | Toilet | Gardu Pandang | Gazebo | Tempat Cuci Tangan | Ruang Pertemuan | Tempat Sampah | Foodcourt | Tempat Ibadah,"[""Area Parkir"", ""Toilet"", ""Gardu Pandang"", ""Gazebo"", ""Tempat Cuci Tangan"", ""Ruang Pertemuan"", ""Tempat Sampah"", ""Foodcourt"", ""Tempat Ibadah""]"
Biosfer 2 Camping Ground,4.835616438356165,73,"Sleman, DIY",https://lh3.googleusercontent.com/p/AF1QipN2krK_N3w8QRc2MmJ4zVQ7KCyJEt8CMHQfztcr=w507-h240-k-no,https://maps.app.goo.gl/VDQM9Kyif9wH1okw7,Cek Gmaps,[],,,
Bukit Camping Menganti Beach,4.379310344827586,58,"Kebumen, Jawa Tengah",https://awsimages.detik.net.id/community/media/visual/2022/10/09/suasana-di-pantai-menganti-kebumen-2_169.jpeg?w=620,https://maps.app.goo.gl/UHEjyf92UYXoJA5T8,Check In - Out : 12.00 - 11.16,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Bumi Perkemahan Desa Kajar,4.188235294117647,170,"Kudus, Jawa Tengah",https://wisato.id/wp-content/uploads/2022/02/f12.jpg,https://maps.app.goo.gl/MNXZcoaxzLnQisnc7,Check In - Out : 12.00 - 11.05,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Bumi Perkemahan Dewi Tinalah,4.333333333333333,12,"Kulon Progo, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyEhUn4ISccMlZAWYa6KrymRoPzBDJaav6tjQXwRtm5c1wrImmt_NonGIjt0dFQnt7rmqMQgZJPfqgf7zXw2O43RDdh_TyxePmBXFSxn7kIV8RmnnCa6Vpyj9H9cLObmDEoRoHgBw=w408-h408-k-no,https://maps.app.goo.gl/etATGwYKQctAySAZ8,Cek Gmaps,[],,,
Bumi Perkemahan Medini,4.217391304347826,69,"Kendal, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxl0mkQPlRGmQsNVOjr0W3e5qu8GT9cdvpbyAgkMb-5TGhBZxjofE6_5WcwKaxGtTSFIZI2c-u10CnjWGTOH6k0jKi91vBl6OO2E5JPzVwbV7DLDkSiG_naFuNEPpQzsiIQFTfm9w=w408-h306-k-no,https://maps.app.goo.gl/vCkhyHKTk6iBtpEs5,Cek Gmaps,[],,,
Bumi Perkemahan Pleseran Nglurah Tawangmangu,4.5528455284552845,492,"Karanganyar, Jawa Tengah",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAjjOfY4gW0z5WGJAw7G1vkwHfSfraCYqeoIYDealkkGkxAe8IGVt5Cok5GxIIQvi1RTi9ojCYpoLTfES0vDv2qoqtl6WfrmjtueqUdKzJwg3LATE9QeKGHjCbpmlVykcX1LEhfmT56wAD=w408-h306-k-no,https://maps.app.goo.gl/yqATJg9xoZwZj28k7,Cek Gmaps,[],,,
Bumi Perkemahan Sambi Sewu - Seropan,4.611111111111111,18,"Gunungkidul, DIY",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtMnGnRvBAtngxrECkX3uaR5TbcMoMTW4oS-FNTPa_SYmqJ5W-VAJl9Je-r2kUGTDr2ccu9n1D4Z9qx1LHgtR4McuRwfImREQHw6D-AikYcM4740DR6swjj7_B6pvMWM2XBrnk=w408-h306-k-no,https://maps.app.goo.gl/x63NPetsAYB6HA8j8,Cek Gmaps,[],,,
Camp Ground,4.703296703296704,91,"Gunungkidul, DIY",https://assets.pikiran-rakyat.com/crop/0x0:0x0/720x0/webp/photo/2025/01/19/4227292767.jpg,https://maps.app.goo.gl/pC4yL1LoVmkU5X7R7,Check In - Out : 12.00 - 11.01,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
Camp Ground Bukit Sikunir,4.5,4,"Wonosobo, Jawa Tengah",https://ak-d.tripcdn.com/images/0HJ5q12000i319z8fA461.jpg,https://maps.app.goo.gl/tHrapzErUS6LbVS68,Check In - Out : 12.00 - 11.09,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",20000.0,Tempat Parkir,"[""Tempat Parkir""]"
